Lineage,Total_HTZ,mean,std,p_value
21348973,42,0.632,0.086,2.719269242717153e-23
BA.3,4,0.472,0.047,
AY.43,12,0.413,0.111,
B.1.1.7,3,0.493,0.024,
BA.4,2,0.443,0.051,
AY.127,10,0.422,0.116,
BA.2,4,0.472,0.047,
BA.5.1,4,0.472,0.047,
C.39,3,0.493,0.024,
BA.1,5,0.468,0.042,
B.1.617.2,0,nan,nan,
AY.124,10,0.422,0.116,
BA.2.36,4,0.472,0.047,
BA.1.1.1,5,0.468,0.042,
B.1.177,0,nan,nan,
BA.1.17,5,0.468,0.042,
B.1,0,nan,nan,
B.1.1,3,0.493,0.024,
BA.1.1,5,0.468,0.042,
AY.122,10,0.422,0.116,
No_variant,27,0.652,0.084,
