Lineage,Total_HTZ,mean,std,p_value
21354701,45,0.716,0.097,5.671647856678565e-36
BA.3,4,0.423,0.291,
AY.43,14,0.534,0.203,
B.1.1.7,3,0.399,0.351,
BA.4,3,0.463,0.255,
AY.127,12,0.532,0.2,
BA.2,5,0.479,0.281,
BA.5.1,5,0.479,0.281,
C.39,3,0.399,0.351,
BA.1,4,0.423,0.291,
B.1.617.2,0,nan,nan,
AY.124,12,0.532,0.2,
BA.2.36,5,0.479,0.281,
BA.1.1.1,4,0.423,0.291,
B.1.177,0,nan,nan,
BA.1.17,4,0.423,0.291,
B.1,0,nan,nan,
B.1.1,3,0.399,0.351,
BA.1.1,4,0.423,0.291,
AY.122,12,0.532,0.2,
No_variant,29,0.73,0.091,
