Lineage,Total_HTZ,mean,std,p_value
21307924,71,0.697,0.112,9.487687440420945e-45
BA.3,6,0.403,0.244,
AY.43,17,0.444,0.132,
B.1.1.7,2,0.664,0.192,
BA.4,5,0.39,0.271,
AY.127,18,0.446,0.128,
BA.2,5,0.39,0.271,
BA.5.1,5,0.39,0.271,
C.39,0,nan,nan,
BA.1,6,0.403,0.244,
B.1.617.2,0,nan,nan,
AY.124,19,0.431,0.141,
BA.2.36,5,0.39,0.271,
BA.1.1.1,6,0.403,0.244,
B.1.177,0,nan,nan,
BA.1.17,6,0.403,0.244,
B.1,0,nan,nan,
B.1.1,0,nan,nan,
BA.1.1,6,0.403,0.244,
AY.122,17,0.444,0.132,
No_variant,50,0.727,0.092,
