Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21351063,47,0.669,0.109,0.664,0.012,0.5,0.834,3.2250978697833895e-26
B.1.617.2,0,nan,nan,,,,,
AY.127,12,0.452,0.142,,,,,
BA.1,4,0.427,0.119,,,,,
BA.2.36,5,0.475,0.149,,,,,
AY.124,12,0.452,0.142,,,,,
BA.1.1.1,4,0.427,0.119,,,,,
B.1,0,nan,nan,,,,,
C.39,3,0.485,0.038,,,,,
BA.3,4,0.427,0.119,,,,,
AY.43,12,0.452,0.142,,,,,
BA.4,3,0.462,0.206,,,,,
AY.122,12,0.452,0.142,,,,,
B.1.1.7,3,0.485,0.038,,,,,
BA.1.1,4,0.427,0.119,,,,,
BA.5.1,5,0.475,0.149,,,,,
B.1.1,3,0.485,0.038,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,5,0.475,0.149,,,,,
BA.1.17,4,0.427,0.119,,,,,
No_variant,33,0.698,0.104,,,,,
