Lineage,Total_HTZ,mean,std,median,var,min,max,p_value
21279108,79,0.673,0.103,0.672,0.011,0.502,0.843,4.181974461168879e-47
B.1.617.2,0,nan,nan,,,,,
AY.127,13,0.31,0.156,,,,,
BA.1,8,0.483,0.236,,,,,
BA.2.36,7,0.468,0.251,,,,,
AY.124,13,0.31,0.156,,,,,
BA.1.1.1,9,0.469,0.224,,,,,
B.1,0,nan,nan,,,,,
C.39,2,0.712,0.004,,,,,
BA.3,8,0.483,0.236,,,,,
AY.43,12,0.286,0.137,,,,,
BA.4,6,0.427,0.249,,,,,
AY.122,12,0.286,0.137,,,,,
B.1.1.7,4,0.615,0.232,,,,,
BA.1.1,9,0.469,0.224,,,,,
BA.5.1,7,0.468,0.251,,,,,
B.1.1,2,0.712,0.004,,,,,
B.1.177,0,nan,nan,,,,,
BA.2,7,0.468,0.251,,,,,
BA.1.17,8,0.483,0.236,,,,,
No_variant,61,0.657,0.107,,,,,
